,solver,jit_time,ave_run_time,ave_distance,jit_grad_time,jit_vmap_time,ave_grad_run_time,construction_time,step_count,tol,cpus,gpus,cheb_order,exp_order,vmap,num_inputs,test
0,dyson,2.0165610313415527,0.5080734038352966,0.01087424772235234,122.61720204353333,52.840599060058594,1.1587078762054444,3.11177659034729,10000.0,0.0,1,0,0,2,1,100,0
1,dyson,2.425499439239502,0.5729048109054565,0.010874332541018182,140.95509028434753,59.76540231704712,1.3311243891716003,4.536417722702026,10000.0,0.0,1,0,1,2,1,100,0
2,dyson,2.046604871749878,0.5114779663085938,0.01087424772235191,6.817458391189575,2.475187301635742,1.2006230163574219,3.3221848011016846,10000.0,0.0,1,0,0,2,1,1,0
3,dyson,2.523160219192505,0.5728079295158386,0.010874332541017889,8.209911584854126,3.0393428802490234,1.3188503527641295,4.77825665473938,10000.0,0.0,1,0,1,2,1,1,0
4,dyson,3.0095784664154053,0.6805969715118408,0.01087463918627124,10.212019205093384,3.588590145111084,1.6306276202201844,9.13809609413147,10000.0,0.0,1,0,2,2,1,1,0
5,dyson,2.2965292930603027,0.5470510697364808,0.0004938564017839979,7.489470720291138,2.7743172645568848,1.2669486498832703,3.1354053020477295,10000.0,0.0,1,0,0,3,1,1,0
6,dyson,3.2037084102630615,0.8825278282165527,0.0004938275229098854,11.318679332733154,4.068843841552734,1.9951194429397583,8.028411149978638,10000.0,0.0,1,0,1,3,1,1,0
7,dyson,5.8624396324157715,1.8474864721298219,0.0004938125464682845,17.191421270370483,6.574754476547241,4.154998903274536,27.91834330558777,10000.0,0.0,1,0,2,3,1,1,0
8,dyson,2.7063474655151367,0.674540057182312,3.5597047524219248e-06,8.501615285873413,3.2651314735412598,1.5295662593841552,4.1376824378967285,10000.0,0.0,1,0,0,4,1,1,0
9,dyson,5.551458358764648,2.049400906562805,2.3512744641100346e-06,16.895549297332764,6.956713676452637,4.308710675239563,20.272731065750122,10000.0,0.0,1,0,1,4,1,1,0
10,dyson,13.121419429779053,6.734879055023193,2.056217121226375e-06,34.253233671188354,14.82990026473999,13.79968557357788,106.24332427978516,10000.0,0.0,1,0,2,4,1,1,0
11,dyson,3.222261428833008,0.25842296600341796,0.010874247728263281,9.024516582489014,4.077712535858154,0.714076201915741,4.384329080581665,10000.0,0.0,64,0,0,2,1,1,0
