,solver,jit_time,ave_run_time,ave_distance,jit_grad_time,jit_vmap_time,ave_grad_run_time,construction_time,step_count,tol,cpus,gpus,cheb_order,exp_order,vmap,num_inputs,test
101,dyson,1.0787675380706787,0.0021707773208618163,0.010874247707822979,2.4544639587402344,1.1322169303894043,0.003709540367126465,4.169483423233032,10000.0,0.0,0,1,0,2,1,50,0
102,dyson,1.1346180438995361,0.0017443561553955077,0.010874332526554183,2.3713600635528564,1.2813100814819336,0.003515160083770752,3.555481433868408,10000.0,0.0,0,1,1,2,1,50,0
103,dense,5.641898155212402,0.06851160287857055,0.003828857903312797,26.15902352333069,5.593731880187988,0.3971047234535217,0.0,0.0,1e-06,0,1,10,0,1,50,0
104,dyson,1.3035099506378174,0.0017983388900756835,0.010874639171779494,2.6696386337280273,1.630873441696167,0.0038129997253417967,5.326172351837158,10000.0,0.0,0,1,2,2,1,50,0
105,dyson,1.1460161209106445,0.0015271496772766113,0.0004938564020918311,2.5964584350585938,1.1463050842285156,0.003483729362487793,2.3273472785949707,10000.0,0.0,0,1,0,3,1,50,0
106,dyson,1.210383415222168,0.0019739103317260743,0.0004938275232646706,2.5881941318511963,1.6132652759552002,0.004474709033966065,3.7188873291015625,10000.0,0.0,0,1,1,3,1,50,0
107,dyson,1.4756450653076172,0.0031763386726379396,0.0004938125467634677,3.2563085556030273,2.019573926925659,0.00663663387298584,5.751034736633301,10000.0,0.0,0,1,2,3,1,50,0
108,dyson,1.0964930057525635,0.0018284416198730469,3.559712409278057e-06,2.622262954711914,1.1711208820343018,0.0036568689346313478,2.522531509399414,10000.0,0.0,0,1,0,4,1,50,0
109,dyson,1.438258409500122,0.003248717784881592,2.3512878336074743e-06,3.3726577758789062,1.6530299186706543,0.006791729927062989,4.014257907867432,10000.0,0.0,0,1,1,4,1,50,0
110,dyson,2.1582131385803223,0.008778636455535888,2.0562299765212965e-06,4.406400918960571,2.3391666412353516,0.017379090785980225,9.58409857749939,10000.0,0.0,0,1,2,4,1,50,0
111,dyson,1.5599017143249512,0.0019558763504028322,2.185915046451674e-06,2.7293179035186768,1.2683753967285156,0.004008579254150391,2.197427749633789,10000.0,0.0,0,1,0,5,1,50,0
112,dyson,1.5317349433898926,0.006298167705535889,3.7531111488225073e-07,3.933410406112671,1.9967963695526123,0.012887084484100341,6.224079370498657,10000.0,0.0,0,1,1,5,1,50,0
113,dense,8.139606714248657,0.10686458349227905,0.00020031047395004987,38.4136426448822,7.489552974700928,0.6417657256126403,0.0,0.0,1e-07,0,1,10,0,1,50,0
114,dense,11.632020711898804,0.16713478088378905,9.283410268776558e-06,57.19569253921509,10.327685832977295,1.0134934043884278,0.0,0.0,1e-08,0,1,10,0,1,50,0
115,magnus,1.3176698684692383,0.02441815137863159,4.2500528744920395e-05,2.805716037750244,1.4261345863342285,0.08621819257736206,4.433616876602173,10000.0,0.0,0,1,0,2,1,1,0
116,magnus,1.407386302947998,0.023194639682769774,4.244616670060264e-05,2.8900671005249023,1.4769165515899658,0.08523348569869996,3.7540230751037598,10000.0,0.0,0,1,1,2,1,1,0
117,magnus,1.4193625450134277,0.022774977684020994,4.2520529624941105e-05,3.0440447330474854,1.7608106136322021,0.08549273014068604,5.422091484069824,10000.0,0.0,0,1,2,2,1,1,0
118,magnus,1.2083704471588135,0.023085224628448486,6.891657471061236e-06,2.7359611988067627,1.545278549194336,0.08481634378433228,2.7329163551330566,10000.0,0.0,0,1,0,3,1,1,0
119,magnus,1.6428124904632568,0.02375427484512329,6.395682094547528e-06,3.0680062770843506,1.5944836139678955,0.08623571872711182,4.176954030990601,10000.0,0.0,0,1,1,3,1,1,0
120,magnus,1.5970144271850586,0.024206371307373048,6.456583725234571e-06,3.5027244091033936,2.117074728012085,0.08858626127243042,6.51083779335022,10000.0,0.0,0,1,2,3,1,1,0
121,magnus,1.268383502960205,0.022398409843444825,2.1837340568989173e-06,2.9258224964141846,1.4013235569000244,0.08548352003097534,2.9984846115112305,10000.0,0.0,0,1,0,4,1,1,0
122,magnus,1.5399298667907715,0.02422236442565918,3.638565128776615e-07,3.2768125534057617,2.1151680946350098,0.08868844985961914,5.483699083328247,10000.0,0.0,0,1,1,4,1,1,0
123,dense,17.770336866378784,0.2632303833961487,4.6032109317420273e-07,83.9773998260498,15.540923118591309,1.5459900093078613,0.0,0.0,1e-09,0,1,10,0,1,50,0
124,magnus,2.010528087615967,0.03015899419784546,6.4203019065615424e-09,4.043902635574341,2.5669708251953125,0.09948329210281372,22.596683740615845,10000.0,0.0,0,1,2,4,1,1,0
125,magnus,1.3016483783721924,0.02357743263244629,2.184158872772403e-06,3.463801145553589,1.3894259929656982,0.08565091609954834,2.823676586151123,10000.0,0.0,0,1,0,5,1,1,0
126,magnus,2.2614126205444336,0.027314670085906982,3.6482375961007816e-07,3.5810189247131348,1.8832781314849854,0.09497040271759033,17.955233573913574,10000.0,0.0,0,1,1,5,1,1,0
127,dense,5.763424396514893,0.04071698665618897,0.003828857903312797,32.588019371032715,6.370047330856323,0.26065979242324827,0.0,0.0,1e-06,0,1,10,0,1,100,0
128,dense,8.211406946182251,0.06408034324645996,0.00020031047395004987,48.734113931655884,8.719812870025635,0.4204076051712036,0.0,0.0,1e-07,0,1,10,0,1,100,0
129,dyson,0.9738221168518066,0.0015635561943054199,0.010874247707822979,2.4699718952178955,1.145918369293213,0.0033319759368896484,3.7402286529541016,10000.0,0.0,0,1,0,2,1,100,0
130,dyson,1.0722851753234863,0.0016230034828186035,0.010874332526554183,2.558534860610962,1.3704006671905518,0.0036040425300598146,3.199481725692749,10000.0,0.0,0,1,1,2,1,100,0
131,dyson,1.2799627780914307,0.0018122053146362304,0.010874639171779494,2.754484176635742,1.7264776229858398,0.003935229778289795,5.087283134460449,10000.0,0.0,0,1,2,2,1,100,0
132,dyson,1.0843451023101807,0.0016962575912475586,0.0004938564020918311,2.872131586074829,1.2621896266937256,0.003564145565032959,2.2180073261260986,10000.0,0.0,0,1,0,3,1,100,0
133,dyson,1.14788818359375,0.0020505475997924807,0.0004938275232646706,2.9714550971984863,1.6469252109527588,0.004582030773162842,3.5552523136138916,10000.0,0.0,0,1,1,3,1,100,0
134,dyson,1.4763896465301514,0.0032463955879211428,0.0004938125467634677,3.6237871646881104,2.16980242729187,0.006795175075531006,5.923460245132446,10000.0,0.0,0,1,2,3,1,100,0
135,dyson,1.0715663433074951,0.001744213104248047,3.559712409278057e-06,2.792200803756714,1.2867796421051025,0.0037925195693969726,2.3645215034484863,10000.0,0.0,0,1,0,4,1,100,0
136,magnus,3.2771334648132324,0.04849532127380371,1.3083532796245645e-09,5.03822660446167,2.764814615249634,0.13501845121383668,308.957200050354,10000.0,0.0,0,1,2,5,1,1,0
137,dense,27.112208604812622,0.41486009359359743,2.5023317145941133e-08,123.91154503822327,22.877877950668335,2.3430667424201967,0.0,0.0,1e-10,0,1,10,0,1,50,0
138,dense,11.970605373382568,0.10073180913925171,9.283410268776558e-06,72.92403483390808,12.270649194717407,0.6653855109214782,0.0,0.0,1e-08,0,1,10,0,1,100,0
139,magnus,1.3817286491394043,0.04275294542312622,2.829278117325057e-06,3.2863450050354004,1.377537727355957,0.1652441930770874,1.7857468128204346,20000.0,0.0,0,1,0,2,1,1,0
140,magnus,1.5600664615631104,0.04280505418777466,2.7529522896570026e-06,3.1283915042877197,1.6956737041473389,0.16576485872268676,2.4577178955078125,20000.0,0.0,0,1,1,2,1,1,0
141,magnus,1.7072489261627197,0.04318927526473999,2.7695656903366596e-06,3.4836723804473877,2.6632659435272217,0.16660624504089355,4.822712182998657,20000.0,0.0,0,1,2,2,1,1,0
142,magnus,1.3889262676239014,0.042774629592895505,7.206853208021387e-07,2.8541054725646973,1.4934682846069336,0.16559571981430055,1.6576027870178223,20000.0,0.0,0,1,0,3,1,1,0
143,magnus,1.6377754211425781,0.04418081521987915,4.46934399423889e-07,3.2318317890167236,1.8031210899353027,0.16790895462036132,3.590958833694458,20000.0,0.0,0,1,1,3,1,1,0
144,magnus,2.0020320415496826,0.04667189598083496,4.523962681030042e-07,3.792687177658081,2.0218632221221924,0.1725525999069214,5.864583730697632,20000.0,0.0,0,1,2,3,1,1,0
145,magnus,1.440422534942627,0.04293628454208374,5.412432995503631e-07,3.023146152496338,1.4699373245239258,0.16579308986663818,1.7528173923492432,20000.0,0.0,0,1,0,4,1,1,0
146,magnus,1.7568309307098389,0.046413483619689944,9.12461583189936e-08,3.5939877033233643,1.8766298294067383,0.17294974327087403,4.937716960906982,20000.0,0.0,0,1,1,4,1,1,0
